metin,kelimeler,departman
"Evimizin önündeki çöp konteyneri taştı, kötü koku yayılıyor.","['çöp konteyneri','koku']","Çevre Koruma ve Sıfır Atık Dairesi Başkanlığı"

"Parklardaki köpek dışkıları temizlenmiyor, hijyen koşulları kötü.","['hijyen','park']","Park ve Bahçeler Müdürlüğü"

"Dere yatakları temizlenmediği için su birikintileri oluşuyor ve sivrisinek üremesi artıyor.","['su birikintileri']", "Çevre Koruma ve Sıfır Atık Dairesi Başkanlığı"

"Havadaki kirlilik seviyesi arttı, solunum sorunları yaşıyoruz.","['hava kirliliği']","Çevre Koruma ve Sıfır Atık Dairesi Başkanlığı"

"Toplu taşıma araçları sefer saatlerine uymuyor, sürekli gecikmeler oluyor.","['toplu taşıma sefer saatleri']", "Ulaşım Dairesi Başkanlığı"

"Otobüs durakları yetersiz ve bakımsız, bekleme alanları yok.","['otobüs durakları']", "Ulaşım Dairesi Başkanlığı"

"Trafik işaretleri yetersiz, kazalar sıkça meydana geliyor.","['trafik işaretleri','kazalar']","Ulaşım Dairesi Başkanlığı"

"Bisiklet yolları eksik, bisikletlilerin güvenliği sağlanmıyor.","['bisiklet yolları']","Ulaşım Dairesi Başkanlığı"

"Kanalizasyon sisteminde sık sık tıkanıklık oluyor, kötü kokular yayılıyor.","['kanalizasyon']", "Fen İşleri Dairesi Başkanlığı"

"Sokak lambaları sık sık yanıp sönüyor veya hiç yanmıyor.","['sokak lambaları']", "Fen İşleri Dairesi Başkanlığı"

"Yaşlılar için yeterli sosyal etkinlik düzenlenmiyor.","['sosyal etkinlik']","Kültür Gençlik ve Spor Dairesi Başkanlığı"

"Çocuk oyun parkları yetersiz ve bakımsız.","['çocuk oyun parkları']","Park ve Bahçeler Müdürlüğü"

"Engelli vatandaşlar için erişilebilirlik sorunları yaşanıyor.","['engelli vatandaşlar']","Fen İşleri Dairesi Başkanlığı"

"Kütüphanelerin çalışma saatleri yetersiz.","['kütüphaneler']","Kültür Gençlik ve Spor Dairesi Başkanlığı"

"Yağmur yağdığında yollar çamur deryasına dönüyor, asfaltlama yapılmalı.","['yol','asfaltlama']","Fen İşleri Dairesi Başkanlığı"

"Mahallemizde sürekli elektrik kesintileri yaşanıyor, yetkililerden çözüm bekliyoruz.","['elektrik kesintisi']","Fen İşleri Dairesi Başkanlığı"

"Okullara giden yollar güvenli değil, çocuklarımızın güvenliği tehlikede.","['okul yolları']","Fen İşleri Dairesi Başkanlığı"

"Mahallemizde yeni yapılan binalar çok katlı, imar planına uygun değil.","['imar planı']","İmar ve Şehircilik Dairesi Başkanlığı"

"Şehirdeki toplu taşıma araçlarında klima çalışmıyor, yazın aşırı sıcak oluyor.","['toplu taşıma']","Ulaşım Dairesi Başkanlığı"

"Şehir merkezindeki sokak lambaları yanmıyor, geceleri karanlıkta kalıyoruz.","['sokak lambaları']","Fen İşleri Dairesi Başkanlığı"

"Çocuk parklarındaki oyun alanları bakımsız ve tehlikeli, yenilenmeli.","['çocuk parkı']","Park ve Bahçeler Müdürlüğü"

"Belediye otobüsleri eski ve konforsuz, seferler artırılmalı.","['otobüsler']","Ulaşım Dairesi Başkanlığı"

"Belediyenin eğitim hizmetleri yetersiz, daha fazla kurs açılmalı.","['eğitim hizmetleri','kurs']","Kültür Gençlik ve Spor Dairesi Başkanlığı"

"Şehirde bisiklet yolları yok, bisiklet kullanmak tehlikeli.","['bisiklet yolu']","Ulaşım Dairesi Başkanlığı"

"Engelli vatandaşlar için yeterli hizmet sunulmuyor.","['engelli hizmetleri']","Kadın Aile ve Sosyal Hizmetler Dairesi Başkanlığı"

"Mahallemizde su şebekesi sık sık arızalanıyor, su kesintisi yaşıyoruz.","['su şebekesi','su kesintisi']","Fen İşleri Dairesi Başkanlığı"

"Mahallemizdeki sokak köpekleri saldırgan, güvenliğimiz tehlikede.","['sokak köpekleri']","Zabıta Dairesi Başkanlığı"

"Parklarda yeterli aydınlatma yok, akşamları güvensiz hissediyoruz.","['park aydınlatma']","Park ve Bahçeler Müdürlüğü"

"Şehirdeki yeşil alanlar korunmalı ve artırılmalı, betonlaşma artıyor.","['yeşil alan']","Park ve Bahçeler Müdürlüğü"

"Sokaklarımızda yeterli çöp konteyneri yok, çöpler birikiyor.","['çöp konteyneri','çöpler']","Çevre Koruma ve Sıfır Atık Dairesi Başkanlığı"

"Kanalizasyon sistemi yetersiz, yağmurlarda taşkın oluyor.","['kanalizasyon','taşkın']","Fen İşleri Dairesi Başkanlığı"

"Belediyenin internet sitesi güncel değil, bilgiye erişim zor.","['internet sitesi']","Bilgi İşlem Dairesi Başkanlığı"

"Mahallemizde spor tesisleri yetersiz, gençler için alanlar oluşturulmalı.","['spor tesisleri']","Kültür Gençlik ve Spor Dairesi Başkanlığı"

"Belediye hizmetleri hakkında yeterli bilgilendirme yapılmıyor, iletişim eksikliği var.","['belediye hizmetleri','iletişim']","Basın Yayın ve Halkla İlişkiler Dairesi Başkanlığı"

"Sokaklarda hız limitlerine uyulmuyor, trafik güvenliği tehlikede.","['trafik güvenliği']","Ulaşım Dairesi Başkanlığı"

"Mahallemizde otopark alanı yok, araçlarımızı park edecek yer bulamıyoruz.","['otopark']","Ulaşım Dairesi Başkanlığı"

"Belediyenin kültürel etkinlikleri yetersiz, daha fazla etkinlik yapılmalı.","['kültürel etkinlikler']","Kültür Gençlik ve Spor Dairesi Başkanlığı"

"Şehirdeki spor salonları ve tesisleri bakımsız, yenilenmeli.","['spor salonları']","Kültür Gençlik ve Spor Dairesi Başkanlığı"

"Yağmur suyu drenaj sistemleri yetersiz, caddeler su altında kalıyor.","['drenaj sistemi']","Fen İşleri Dairesi Başkanlığı"

"Belediye otobüslerinin sefer saatleri düzensiz, daha sık olmalı.","['otobüs seferleri']","Ulaşım Dairesi Başkanlığı"

"Mahallemizde sokaklar çok dar, araçlar geçemiyor, genişletme yapılmalı.","['sokak genişletme']","Fen İşleri Dairesi Başkanlığı"

"Parklardaki çim alanlar bakımsız ve kurumuş, düzenli sulama yapılmalı.","['çim bakımı','sulama']","Park ve Bahçeler Müdürlüğü"

"Şehirdeki otobüs durakları yetersiz, daha fazla durak yapılmalı.","['otobüs durakları']","Ulaşım Dairesi Başkanlığı"

"Parklardaki oyun grupları yetersiz, çocuklarımız oynayacak yer bulamıyor.","['oyun grupları']","Park ve Bahçeler Müdürlüğü"

"Sokaklarda çöp konteynerleri yetersiz, çöpler yerlerde birikiyor.","['çöp konteynerleri']","Çevre Koruma ve Sıfır Atık Dairesi Başkanlığı"

"Parklarda gece ışıklandırması yetersiz.","['gece ışıklandırması']","Park ve Bahçeler Müdürlüğü"

"Toplu taşıma araçları eski ve sık sık arızalanıyor.","['toplu taşıma araçları']","Ulaşım Dairesi Başkanlığı"

"Mahallemizdeki yolların asfaltı bozuk, araçlarımız zarar görüyor.","['asfalt bozukluğu']","Yol Yapım Bakım ve Onarım Dairesi Başkanlığı"

"Kahramanmaraş'ta kültürel etkinlikler nadiren yapılıyor,daha fazla etkinlik istiyoruz.","['kültürel etkinlikler']","Kültür Gençlik ve Spor Dairesi Başkanlığı"

"Belediye otobüslerinin sefer saatleri düzensiz,sık sık gecikmeler yaşıyoruz.","['otobüs seferleri']","Ulaşım Dairesi Başkanlığı"

"Parklarda spor aletleri yetersiz,daha fazla spor alanı talep ediyoruz.","['spor aletleri']","Park ve Bahçeler Müdürlüğü"

"Mahallemizdeki çocuk parkı bakımsız.","['çocuk parkı']","Park ve Bahçeler Müdürlüğü"

"Belediye binalarındaki bilgisayarlar çok yavaş çalışıyor,işlerimiz aksıyor.","['bilgisayar sorunları']","Bilgi İşlem Dairesi Başkanlığı"

"Mahallemizde su kesintileri sık sık yaşanıyor, çözüm istiyoruz.","['su kesintileri']","Fen İşleri Dairesi Başkanlığı"

"Şehirde park yeri bulmak çok zor, otopark alanları artırılmalı.","['otopark']","Ulaşım Dairesi Başkanlığı"

"Belediyenin çevre temizliği çalışmaları yetersiz, sokaklar kirli.","['çevre temizliği','kir']","Çevre Koruma ve Sıfır Atık Dairesi Başkanlığı"

"Kahramanmaraş'ta altyapı sorunları nedeniyle yağmur yağdığında su baskınları oluyor.","['altyapı sorunları']","Fen İşleri Dairesi Başkanlığı"

"Toplu taşıma araçlarının güzergahları sık sık değişiyor,vatandaşlar mağdur oluyor.","['toplu taşıma güzergahları']","Ulaşım Dairesi Başkanlığı"

"Parklardaki banklar ve oturma alanları bakımsız, yenilenmeli.","['park bankları']","Park ve Bahçeler Müdürlüğü"

"Çöp konteynerleri dolup taşıyor, daha sık boşaltılmalı.","['çöp konteynerleri']","Çevre Koruma ve Sıfır Atık Dairesi Başkanlığı"

"Belediyenin web sitesinde bilgi bulmak zor, kullanıcı dostu değil.","['web sitesi']","Bilgi İşlem Dairesi Başkanlığı"

"Mahallemizdeki yolların aydınlatması yetersiz, geceleri karanlık.","['yol aydınlatması']","Fen İşleri Dairesi Başkanlığı"

"Sokaklarda geri dönüşüm kutuları yok, atıklarımızı ayrıştıramıyoruz.","['geri dönüşüm kutuları','atıklar']","Çevre Koruma ve Sıfır Atık Dairesi Başkanlığı"

"Kültürel etkinlikler ve sosyal aktiviteler az, daha fazla etkinlik istiyoruz.","['sosyal aktiviteler']","Kültür Gençlik ve Spor Dairesi Başkanlığı"

"Mahallemizde yeşil alanlar yetersiz, daha fazla park ve bahçe istiyoruz.","['yeşil alanlar','park','bahçe']","Park ve Bahçeler Müdürlüğü"

"Şehir merkezinde trafik sıkışıklığı her geçen gün artıyor, çözüm istiyoruz.","['trafik sıkışıklığı']","Ulaşım Dairesi Başkanlığı"

"Şehirde bisiklet yolları eksik, bisiklet sürmek tehlikeli hale geliyor.","['bisiklet yolları']","Ulaşım Dairesi Başkanlığı"

"Kahramanmaraş'ta hava kirliliği ciddi bir sorun, acil önlem alınmalı.","['hava kirliliği']","Çevre Koruma ve Sıfır Atık Dairesi Başkanlığı"

"Toplu taşıma ücretleri yüksek, öğrencilere indirim yapılmalı.","['toplu taşıma ücretleri']","Ulaşım Dairesi Başkanlığı"

"Şehirdeki tarihi yapılar restore edilmeli, bakımsızlık nedeniyle zarar görüyorlar.","['tarihi yapıların restorasyonu']","Kültür Gençlik ve Spor Dairesi Başkanlığı"

"Şehirde kütüphane sayısı yetersiz, daha fazla kütüphane açılmalı.","['kütüphaneler']","Kültür Gençlik ve Spor Dairesi Başkanlığı"

"Belediyenin düzenlediği eğitim kursları yetersiz,daha fazla eğitim fırsatı bekliyoruz.","['eğitim kursları']","Kültür Gençlik ve Spor Dairesi Başkanlığı"

"Mahallemizdeki yürüyüş yolları bakımsız ve tehlikeli, yenilenmeli.","['yürüyüş yolları']","Park ve Bahçeler Müdürlüğü"

"Çöp toplama saatleri düzensiz, çöpler uzun süre sokakta kalıyor.","['çöp toplama saatleri']","Çevre Koruma ve Sıfır Atık Dairesi Başkanlığı"

"Parklardaki oyun alanları eski ve bakımsız, çocuklarımız için yenilenmeli.","['oyun alanları']","Park ve Bahçeler Müdürlüğü"

"Mahallemizde elektrik kesintileri sık sık yaşanıyor, çözüm bekliyoruz.","['elektrik kesintileri']","Fen İşleri Dairesi Başkanlığı"

"Toplu taşıma araçlarında hijyen kurallarına uyulmuyor, temizlik artırılmalı.","['toplu taşıma hijyeni']","Ulaşım Dairesi Başkanlığı"

"Şehirdeki spor tesisleri yetersiz, gençler için daha fazla tesis yapılmalı.","['spor tesisleri']","Kültür Gençlik ve Spor Dairesi Başkanlığı"

"Belediye otobüsleri eski ve konforsuz, yeni otobüsler alınmalı.","['belediye otobüsleri']","Ulaşım Dairesi Başkanlığı"

"Şehirdeki ana caddeler ve kaldırımlar engelli erişimine uygun değil.","['engelli erişimi']","Fen İşleri Dairesi Başkanlığı"

"Şehirde su kaynakları kirli, temiz içme suyu sağlanmalı.","['su kirliliği','içme suyu']","Fen İşleri Dairesi Başkanlığı"

"Mahallemizdeki sokak lambaları sürekli arızalanıyor, tamir edilmeli.","['sokak lambaları']","Fen İşleri Dairesi Başkanlığı"

"Belediyenin hizmetleri hakkında yeterince bilgi alamıyoruz, bilgilendirme yapılmalı.","['belediye bilgilendirmesi']","Bilgi İşlem Dairesi Başkanlığı"

"Şehirdeki ana arterlerde yaya geçitleri yetersiz, yayalar için güvenli geçişler yapılmalı.","['yaya geçitleri']","Ulaşım Dairesi Başkanlığı"

"Mahallemizdeki okul önlerinde trafik güvenliği sağlanmalı, çocuklarımız tehlikede.","['okul önü trafik güvenliği']","Ulaşım Dairesi Başkanlığı"

"Belediyenin kültür merkezleri yetersiz, daha fazla merkez açılmalı.","['kültür merkezleri']","Kültür Gençlik ve Spor Dairesi Başkanlığı"

"Mahallemizde çöp konteynerleri yetersiz, daha fazla konteyner konulmalı.","['çöp konteynerleri']","Çevre Koruma ve Sıfır Atık Dairesi Başkanlığı"

"Şehirde gürültü kirliliği ciddi bir sorun, özellikle gece saatlerinde önlem alınmalı.","['gürültü kirliliği']","Çevre Koruma ve Sıfır Atık Dairesi Başkanlığı"

"Parklarımızda güvenlik sorunları yaşıyoruz, daha fazla güvenlik görevlisi istiyoruz.","['park güvenliği']","Park ve Bahçeler Müdürlüğü"

"Şehirde otopark alanları yetersiz, park yeri bulmakta zorlanıyoruz.","['otopark alanları']","Ulaşım Dairesi Başkanlığı"

"Belediye etkinliklerinin duyuruları yetersiz, daha etkili iletişim istiyoruz.","['etkinlik duyuruları']","Kültür Gençlik ve Spor Dairesi Başkanlığı"

"Şehirdeki marketlerde fiyat denetimi yapılmalı, fahiş fiyat uygulamaları var.","['fiyat denetimi']","Zabıta Dairesi Başkanlığı"

"Mahallemizde su baskınları sık sık yaşanıyor, altyapı çalışmaları yapılmalı.","['su baskınları','altyapı çalışmaları']","Fen İşleri Dairesi Başkanlığı"

"Şehirde aydınlatma yetersiz, sokaklarımız karanlık ve güvensiz.","['sokak aydınlatması']","Fen İşleri Dairesi Başkanlığı"

"Belediye binalarındaki hizmet noktaları yetersiz, uzun kuyruklar oluşuyor.","['hizmet noktaları']","Bilgi İşlem Dairesi Başkanlığı"

"Mahallemizdeki çocuk parkları güvenli değil, acilen bakımdan geçirilmeli.","['çocuk parkları']","Park ve Bahçeler Müdürlüğü"

"Belediye otobüslerinin güzergahları yeterli değil, yeni güzergahlar eklenmeli.","['otobüs güzergahları']","Ulaşım Dairesi Başkanlığı"

"Mahallemizde sokak temizliği yetersiz, çöpler birikiyor ve kötü koku oluşuyor.","['sokak temizliği']","Çevre Koruma ve Sıfır Atık Dairesi Başkanlığı"

"Şehirde hava kalitesi düşük, daha fazla yeşil alan ve ağaçlandırma yapılmalı.","['hava kalitesi']","Çevre Koruma ve Sıfır Atık Dairesi Başkanlığı"

"Mahallemizde gençler için sosyal aktiviteler yetersiz, yeni projeler yapılmalı.","['gençlik aktiviteleri']","Kültür Gençlik ve Spor Dairesi Başkanlığı"

"Şehirdeki parklar ve bahçelerde yeterli bank yok, daha fazla oturma alanı istiyoruz.","['park ve bahçe bankları']","Park ve Bahçeler Müdürlüğü"

"Belediye vergi ödeme noktaları yetersiz, online ödeme seçenekleri artırılmalı.","['vergi ödeme noktaları']","Mali Hizmetler Dairesi Başkanlığı"

"Mahallemizdeki yollar bakımsız ve çukurlarla dolu, acilen onarım yapılmalı.","['yol bakımı']","Fen İşleri Dairesi Başkanlığı"

"Şehirde bisiklet park yerleri yetersiz, bisiklet sürücüleri mağdur oluyor.","['bisiklet park yerleri']","Ulaşım Dairesi Başkanlığı"

"Şehirde sanatsal etkinlikler yetersiz, daha fazla tiyatro ve konser düzenlenmeli.","['sanatsal etkinlikler']","Kültür Gençlik ve Spor Dairesi Başkanlığı"

"Mahallemizdeki eski binalar tehlike arz ediyor, kentsel dönüşüm projeleri yapılmalı.","['kentsel dönüşüm']","Fen İşleri Dairesi Başkanlığı"

"Şehirde toplu taşıma araçlarının sayısı yetersiz, seferler artırılmalı.","['toplu taşıma seferleri']","Ulaşım Dairesi Başkanlığı"

"Belediye hizmet binalarında engelli tuvaletleri eksik, bu konuda düzenleme yapılmalı.","['engelli tuvaletleri']","Fen İşleri Dairesi Başkanlığı"

"Şehirde otobüs durakları yetersiz ve bakımsız, yenilenmeleri gerekiyor.","['otobüs durakları']","Ulaşım Dairesi Başkanlığı"

"Mahallemizde otopark sorunu var, belediye otoparkları artırılmalı.","['otopark sorunu']","Ulaşım Dairesi Başkanlığı"

"Belediyenin web sitesi kullanıcı dostu değil, daha erişilebilir olmalı.","['belediye web sitesi']","Bilgi İşlem Dairesi Başkanlığı"

"Şehirdeki spor etkinlikleri yetersiz, daha fazla turnuva ve yarışma düzenlenmeli.","['spor etkinlikleri']","Kültür Gençlik ve Spor Dairesi Başkanlığı"

"Mahallemizdeki çocuk oyun alanlarında güvenlik önlemleri eksik, yenileme yapılmalı.","['çocuk oyun alanları']","Park ve Bahçeler Müdürlüğü"

"Mahallemizde sokak lambaları sık sık yanmıyor, karanlıkta kalıyoruz.","['sokak lambaları']","Fen İşleri Dairesi Başkanlığı"

"Belediye otobüslerinde klima çalışmıyor, yaz aylarında çok zorlanıyoruz.","['otobüs kliması']","Ulaşım Dairesi Başkanlığı"

"Mahallemizdeki pazar yerinde hijyen koşulları yetersiz, sağlık tehlikesi var.","['pazar hijyeni']","Zabıta Dairesi Başkanlığı"

"Şehirdeki ana yollarda trafik işaretleri eksik, kazalar meydana geliyor.","['trafik işaretleri']","Ulaşım Dairesi Başkanlığı"

"Belediye binasında danışma hizmeti yetersiz, bilgi almakta zorlanıyoruz.","['danışma hizmeti']","Bilgi İşlem Dairesi Başkanlığı"

"Mahallemizde toplu taşıma bekleme süreleri çok uzun, seferler sıklaştırılmalı.","['toplu taşıma süreleri']","Ulaşım Dairesi Başkanlığı"

"Şehirdeki köprüler bakımsız ve güvenli değil, acilen onarılmalı.","['köprü bakımı']","Fen İşleri Dairesi Başkanlığı"

"Mahallemizde ağaçlar budanmıyor, dallar yolları kapatıyor.","['ağaç budama']","Park ve Bahçeler Müdürlüğü"

"Şehirde sosyal konut projeleri yetersiz, dar gelirli aileler zor durumda.","['sosyal konut projeleri']","İmar ve Şehircilik Dairesi Başkanlığı"

"Mahallemizdeki sokaklar sık sık su borusu patlaması nedeniyle su altında kalıyor.","['su borusu patlaması']","Fen İşleri Dairesi Başkanlığı"

"Belediye otobüslerinde engelli rampaları çalışmıyor, engelli vatandaşlar mağdur.","['engelli rampaları']","Ulaşım Dairesi Başkanlığı"

"Mahallemizdeki yürüyüş yolları bakımsız ve düzensiz, yürümek zorlaşıyor.","['yürüyüş yolları']","Park ve Bahçeler Müdürlüğü"

"Şehirdeki hava kirliliği ciddi boyutlarda, daha sık denetim ve önlem alınmalı.","['hava kirliliği']","Çevre Koruma ve Sıfır Atık Dairesi Başkanlığı"

"Mahallemizde park alanları yok, çocuklar güvenli bir yerde oynayamıyor.","['park alanları']","Park ve Bahçeler Müdürlüğü"

"Şehirdeki inşaat projeleri gece geç saatlerde devam ediyor, gürültü kirliliği yaratıyor.","['inşaat gürültüsü']","İmar ve Şehircilik Dairesi Başkanlığı"

"Belediye hizmetleriyle ilgili bilgi almak için çağrı merkezi yetersiz, daha fazla personel istihdam edilmeli.","['çağrı merkezi']","Bilgi İşlem Dairesi Başkanlığı"

"Şehirdeki bisiklet yolları yetersiz ve düzensiz, bisiklet sürmek tehlikeli hale geliyor.","['bisiklet yolları']","Ulaşım Dairesi Başkanlığı"

"Mahallemizde kamu binalarına erişim zor, engelli asansörleri yok.","['engelli asansörleri']","Fen İşleri Dairesi Başkanlığı"

"Şehirde kamu tuvaletleri yetersiz, hijyen koşulları kötü.","['kamu tuvaletleri']","Zabıta Dairesi Başkanlığı"

"Belediye parklarında spor aletleri eksik, daha fazla spor aleti konulmalı.","['spor aletleri']","Park ve Bahçeler Müdürlüğü"

"Mahallemizdeki yollar dar ve araç parkı sorun yaratıyor,genişletme çalışmaları yapılmalı.","['yol genişletme']","Fen İşleri Dairesi Başkanlığı"

"Şehirde elektrik kesintileri sık yaşanıyor, altyapı güçlendirilmeli.","['elektrik kesintileri']","Fen İşleri Dairesi Başkanlığı"

"Mahallemizdeki spor tesisleri bakımsız, kullanım zorlaşıyor.","['spor tesisleri']","Kültür Gençlik ve Spor Dairesi Başkanlığı"

"Mahallemizde pazar yerleri düzenli değil, alışveriş yaparken zorluk yaşıyoruz.","['pazar yerleri']","Zabıta Dairesi Başkanlığı"

"Mahallemizde çöp toplama saatleri düzensiz, çöpler sokakta birikiyor.","['çöp toplama']","Çevre Koruma ve Sıfır Atık Dairesi Başkanlığı"

"Belediye otobüsleri eski ve konforsuz, yeni otobüsler alınmalı.","['otobüs konforu']","Ulaşım Dairesi Başkanlığı"

"Mahallemizde sokak tabelaları eksik, adres bulmakta zorlanıyoruz.","['sokak tabelaları']","Fen İşleri Dairesi Başkanlığı"

"Şehirde su kalitesi düşük, içme suyu sağlıksız.","['su kalitesi']","Çevre Koruma ve Sıfır Atık Dairesi Başkanlığı"

"Mahallemizde park yerleri aydınlatmasız, gece kullanımı güvenli değil.","['park yeri aydınlatması']","Fen İşleri Dairesi Başkanlığı"

"Şehirde atık su arıtma tesisleri yetersiz, çevre kirliliği artıyor.","['atık su arıtma','çevre kirliliği']","Çevre Koruma ve Sıfır Atık Dairesi Başkanlığı"

"Mahallemizde otobüs duraklarında bilgilendirme panoları yok, otobüs saatlerini öğrenemiyoruz.","['bilgilendirme panoları']","Ulaşım Dairesi Başkanlığı"

"Belediye etkinliklerinde engelli vatandaşlar için düzenlemeler yetersiz, erişim sağlanmalı.","['engelli erişimi']","Kültür Gençlik ve Spor Dairesi Başkanlığı"